Region,Player,Org,ProfileURL,Agents,Rnd,R2.0,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
EMEA,marteen,M8,https://www.vlr.gg/player/10307/marteen,,186,1.41,267.4,1.43,76%,169.1,0.95,0.31,0.15,0.10,31%,32%,7/22,30,176,123,57,28,19
Americas,eeiu,FUR,https://www.vlr.gg/player/796/eeiu,,126,1.24,243.5,1.34,69%,166.5,0.88,0.23,0.10,0.05,35%,17%,3/18,22,111,83,29,13,6
Americas,trent,G2,https://www.vlr.gg/player/15500/trent,,330,1.15,191.1,1.11,73%,131.1,0.69,0.34,0.05,0.04,29%,19%,10/52,32,229,207,111,17,12
CN,Xross,NS,https://www.vlr.gg/player/42772/xross,,215,1.14,209.6,1.19,78%,139.9,0.73,0.29,0.07,0.02,29%,6%,2/33,25,158,133,63,16,4
Pacific,iZu,T1,https://www.vlr.gg/player/29833/izu,,135,1.14,231.3,1.24,65%,155.2,0.87,0.21,0.11,0.13,40%,,0/19,29,117,94,29,15,17
Americas,keiko,NRG,https://www.vlr.gg/player/11494/keiko,(+2),397,1.11,216.1,1.16,74%,139.6,0.79,0.21,0.11,0.08,33%,12%,5/43,27,313,270,84,45,31
CN,Dambi,NS,https://www.vlr.gg/player/31827/dambi,,215,1.11,237.4,1.19,73%,142.4,0.85,0.21,0.20,0.15,18%,13%,1/8,25,183,154,46,43,32
Pacific,stax,T1,https://www.vlr.gg/player/485/stax,,135,1.11,194.3,1.15,73%,127.7,0.72,0.21,0.03,0.04,26%,10%,2/21,24,97,84,28,4,6
CN,Ivy,NS,https://www.vlr.gg/player/31829/ivy,(+1),215,1.10,208.3,1.26,73%,137.0,0.77,0.22,0.09,0.06,39%,30%,8/27,24,165,131,47,19,12
Americas,skuba,NRG,https://www.vlr.gg/player/11118/skuba,,397,1.10,211.2,1.14,74%,134.9,0.76,0.25,0.11,0.09,25%,13%,8/60,26,300,263,99,43,34
Pacific,d4v41,PRX,https://www.vlr.gg/player/9803/d4v41,(+2),481,1.08,206.1,1.20,70%,138.3,0.77,0.18,0.08,0.06,31%,10%,6/58,24,371,310,88,37,31
CN,Francis,NS,https://www.vlr.gg/player/31828/francis,,215,1.08,224.6,1.09,77%,146.9,0.78,0.25,0.15,0.12,25%,8%,1/13,24,167,153,54,33,26
CN,ZmjjKK,EDG,https://www.vlr.gg/player/3520/zmjjkk,,81,1.08,207.3,1.12,63%,140.0,0.80,0.11,0.16,0.14,30%,9%,1/11,25,65,58,9,13,11
Pacific,invy,PRX,https://www.vlr.gg/player/8504/invy,,481,1.07,198.2,1.11,74%,136.2,0.70,0.27,0.06,0.08,30%,15%,7/48,21,335,302,130,30,38
EMEA,Lar0k,BBL,https://www.vlr.gg/player/31305/lar0k,,176,1.07,218.1,1.09,70%,143.0,0.78,0.19,0.14,0.16,27%,6%,1/16,31,137,126,34,25,28
EMEA,starxo,M8,https://www.vlr.gg/player/565/starxo,,186,1.06,186.1,0.98,70%,126.1,0.63,0.35,0.05,0.05,23%,16%,5/32,17,117,119,66,9,9
EMEA,Loita,BBL,https://www.vlr.gg/player/24344/loita,,176,1.05,187.4,1.00,70%,125.8,0.70,0.42,0.03,0.07,35%,27%,6/22,27,123,123,74,6,13
Americas,jawgemo,G2,https://www.vlr.gg/player/3993/jawgemo,,330,1.04,236.4,1.09,70%,150.7,0.84,0.16,0.15,0.17,25%,25%,4/16,25,278,255,52,49,56
Americas,valyn,G2,https://www.vlr.gg/player/3885/valyn,,330,1.04,188.1,1.00,74%,122.9,0.66,0.35,0.07,0.06,23%,16%,6/37,18,217,216,117,24,20
Pacific,something,PRX,https://www.vlr.gg/player/17086/something,(+1),481,1.03,196.4,1.09,71%,127.1,0.71,0.20,0.13,0.12,26%,13%,7/55,23,340,312,94,61,60
Pacific,Munchkin,T1,https://www.vlr.gg/player/2489/munchkin,,135,1.03,201.0,0.95,74%,130.9,0.61,0.48,0.10,0.06,18%,12%,2/17,19,83,87,65,13,8
Pacific,Jinggg,PRX,https://www.vlr.gg/player/7378/jinggg,(+1),481,1.02,213.9,1.08,74%,140.4,0.74,0.27,0.11,0.12,25%,9%,4/43,24,358,331,128,55,59
CN,happywei,XLG,https://www.vlr.gg/player/37927/happywei,,75,1.02,213.3,0.96,64%,139.3,0.71,0.28,0.11,0.09,24%,7%,1/14,17,53,55,21,8,7
Americas,mada,NRG,https://www.vlr.gg/player/5132/mada,,397,1.00,212.8,1.01,70%,134.3,0.74,0.21,0.21,0.17,27%,21%,6/28,24,292,289,82,85,66
Americas,leaf,G2,https://www.vlr.gg/player/7873/leaf,(+1),330,0.99,207.1,1.01,69%,134.8,0.72,0.29,0.11,0.11,23%,16%,5/31,25,238,235,95,37,37
Pacific,BuZz,T1,https://www.vlr.gg/player/804/buzz,(+2),135,0.98,236.7,0.98,74%,153.1,0.76,0.27,0.20,0.15,20%,13%,1/8,24,102,104,37,27,20
CN,f4ngeer,AG,https://www.vlr.gg/player/21216/f4ngeer,,152,0.98,205.6,1.02,66%,137.1,0.75,0.12,0.17,0.14,31%,8%,1/13,23,114,112,18,26,22
Pacific,f0rsakeN,PRX,https://www.vlr.gg/player/9801/f0rsaken,(+4),481,0.96,205.6,0.99,72%,135.5,0.71,0.31,0.10,0.12,28%,11%,4/37,24,342,344,149,50,58
CN,Rb,NS,https://www.vlr.gg/player/488/rb,,215,0.95,164.3,0.95,74%,105.6,0.59,0.47,0.07,0.07,22%,10%,2/20,19,126,132,100,16,14
Americas,brawk,NRG,https://www.vlr.gg/player/2172/brawk,,397,0.95,175.4,0.86,70%,126.1,0.58,0.30,0.04,0.06,23%,15%,6/40,20,231,269,118,16,22
CN,K1ra,AG,https://www.vlr.gg/player/46748/k1ra,,152,0.95,193.4,0.98,65%,125.5,0.69,0.16,0.07,0.15,24%,12%,2/17,22,105,107,25,11,23
EMEA,Minny,M8,https://www.vlr.gg/player/23169/minny,,186,0.94,182.8,0.92,74%,117.6,0.63,0.25,0.10,0.15,32%,6%,1/17,21,118,128,46,19,28
EMEA,nAts,TL,https://www.vlr.gg/player/457/nats,,130,0.94,190.2,0.95,68%,127.7,0.68,0.20,0.06,0.08,30%,4%,1/23,24,88,93,26,8,11
EMEA,GLYPH,M8,https://www.vlr.gg/player/8286/glyph,,186,0.93,171.2,0.83,72%,110.6,0.57,0.41,0.04,0.04,25%,9%,2/23,20,106,127,76,7,8
EMEA,lovers rock,BBL,https://www.vlr.gg/player/40935/lovers-rock,,176,0.93,196.6,0.91,68%,126.9,0.68,0.18,0.11,0.11,17%,10%,2/21,28,119,131,32,20,19
EMEA,Crewen,BBL,https://www.vlr.gg/player/12795/crewen,,176,0.92,188.1,0.96,63%,129.5,0.68,0.18,0.09,0.09,36%,5%,1/22,21,119,124,31,16,16
EMEA,wayne,TL,https://www.vlr.gg/player/24628/wayne,,130,0.92,181.8,0.90,65%,117.0,0.66,0.30,0.09,0.08,30%,11%,2/18,22,86,96,39,12,11
EMEA,purp0,TL,https://www.vlr.gg/player/1885/purp0,,130,0.92,169.8,0.97,75%,118.6,0.66,0.22,0.05,0.04,41%,,0/17,22,86,89,28,7,5
Americas,koalanoob,FUR,https://www.vlr.gg/player/3722/koalanoob,,126,0.90,191.0,0.91,70%,119.2,0.68,0.26,0.10,0.10,19%,12%,2/17,19,86,95,33,12,12
EMEA,kamo,TL,https://www.vlr.gg/player/14681/kamo,,130,0.90,197.2,0.96,70%,127.6,0.70,0.23,0.09,0.10,41%,23%,3/13,23,91,95,30,12,13
CN,Shr1mp,AG,https://www.vlr.gg/player/25494/shr1mp,,152,0.90,159.1,0.83,72%,108.0,0.57,0.27,0.07,0.07,32%,24%,4/17,16,86,104,41,10,10
Americas,artzin,FUR,https://www.vlr.gg/player/5957/artzin,,126,0.89,181.3,0.85,69%,124.4,0.65,0.29,0.07,0.10,22%,14%,2/14,23,82,96,37,9,12
Americas,Ethan,NRG,https://www.vlr.gg/player/11225/ethan,(+1),397,0.88,163.8,0.86,71%,109.5,0.58,0.29,0.05,0.08,23%,13%,5/39,25,231,270,114,21,32
CN,Lysoar,XLG,https://www.vlr.gg/player/37489/lysoar,,75,0.88,173.5,0.90,75%,116.8,0.69,0.24,0.03,0.04,35%,10%,1/10,21,52,58,18,2,3
CN,CHICHOO,EDG,https://www.vlr.gg/player/15559/chichoo,,81,0.88,173.5,0.81,63%,112.9,0.59,0.23,0.09,0.11,29%,,0/12,17,48,59,19,7,9
CN,Au1,AG,https://www.vlr.gg/player/55038/au1,,152,0.88,192.9,0.84,66%,131.8,0.64,0.22,0.07,0.08,16%,,0/27,20,97,115,34,10,12
Americas,nerve,FUR,https://www.vlr.gg/player/754/nerve,,126,0.87,169.3,0.75,67%,116.7,0.56,0.25,0.07,0.06,26%,10%,2/20,17,70,93,32,9,8
Americas,BABYBAY,G2,https://www.vlr.gg/player/2170/babybay,,330,0.87,172.4,0.89,65%,111.0,0.61,0.18,0.11,0.13,22%,10%,4/39,19,200,225,59,35,43
CN,iamgrq,AG,https://www.vlr.gg/player/58959/iamgrq,(+1),152,0.83,176.4,0.83,71%,112.4,0.59,0.32,0.07,0.12,25%,14%,2/14,17,90,109,49,10,18
EMEA,MiniBoo,TL,https://www.vlr.gg/player/18350/miniboo,,130,0.81,189.2,0.83,70%,126.5,0.65,0.20,0.21,0.18,33%,14%,1/7,20,85,103,26,27,23
EMEA,bipo,M8,https://www.vlr.gg/player/18400/bipo,,186,0.78,167.9,0.81,67%,106.5,0.60,0.22,0.12,0.19,24%,11%,1/9,16,112,139,41,23,36
CN,Smoggy,EDG,https://www.vlr.gg/player/4742/smoggy,,81,0.78,151.3,0.67,68%,102.9,0.49,0.30,0.07,0.09,30%,8%,1/12,12,40,60,24,6,7
Pacific,Meteor,T1,https://www.vlr.gg/player/13039/meteor,(+1),135,0.77,176.5,0.79,64%,115.9,0.60,0.16,0.08,0.10,33%,30%,3/10,17,81,103,21,11,14
Americas,alym,FUR,https://www.vlr.gg/player/48025/alym,,126,0.76,179.8,0.80,61%,116.1,0.62,0.21,0.16,0.21,26%,,0/8,20,78,98,26,20,26
CN,Rarga,XLG,https://www.vlr.gg/player/22047/rarga,,75,0.75,210.3,0.80,65%,138.8,0.71,0.20,0.15,0.17,32%,,0/5,19,53,66,15,11,13
EMEA,Rosé,BBL,https://www.vlr.gg/player/5565/ros,,176,0.74,157.0,0.71,61%,107.4,0.52,0.27,0.07,0.11,32%,9%,2/22,18,91,128,47,12,20
CN,cb,EDG,https://www.vlr.gg/player/39697/cb,,81,0.74,165.5,0.78,69%,106.7,0.62,0.12,0.11,0.12,25%,11%,1/9,19,50,64,10,9,10
CN,NoMan,XLG,https://www.vlr.gg/player/11527/noman,,75,0.73,155.0,0.74,63%,95.9,0.57,0.11,0.15,0.12,31%,7%,1/15,13,43,58,8,11,9
CN,nobody,EDG,https://www.vlr.gg/player/3017/nobody,,81,0.69,138.0,0.62,54%,93.3,0.47,0.15,0.05,0.06,15%,,0/7,17,38,61,12,4,5
CN,WsLeo,XLG,https://www.vlr.gg/player/24308/wsleo,,75,0.67,130.5,0.54,68%,97.1,0.41,0.36,0.07,0.07,24%,11%,1/9,13,31,57,27,5,5
